Points_0,Points_1,Points_2,Points_Magnitude,activeset,displacement_0,displacement_1,displacement_2,displacement_Magnitude,gap,nodal_cauchy_stresses_xyz_0,nodal_cauchy_stresses_xyz_1,nodal_cauchy_stresses_xyz_2,nodal_cauchy_stresses_xyz_3,nodal_cauchy_stresses_xyz_4,nodal_cauchy_stresses_xyz_5,nodal_cauchy_stresses_xyz_Magnitude,norcontactstress_0,norcontactstress_1,norcontactstress_2,norcontactstress_Magnitude,tancontactstress_0,tancontactstress_1,tancontactstress_2,tancontactstress_Magnitude,Point ID
-5.01771e-19,-0.806452,0,0.806452,0,-1.74922e-20,-0.00418149,0,0.00418149,0,-0.102257,-2.96705,0,7.40745e-15,0,0,2.96881,0,0,0,0,0,0,0,0,0
0,-0.8,0,0.8,0,0,-0.00426776,0,0.00426776,0,-0.0847587,-2.87326,0,7.61327e-13,0,0,2.87451,0,0,0,0,0,0,0,0,1
-0.00555556,-0.8,0,0.800019,0,-2.96076e-05,-0.00427015,0,0.00427026,0,-0.0863043,-2.86952,0,0.073206,0,0,2.87175,0,0,0,0,0,0,0,0,2
-0.00564659,-0.80645,0,0.80647,0,-3.07222e-05,-0.00418411,0,0.00418422,0,-0.104039,-2.96301,0,0.0781719,0,0,2.96586,0,0,0,0,0,0,0,0,3
-3.08149e-33,-0.809405,0,0.809405,0,-8.98226e-20,-0.00414086,0,0.00414086,0,-0.108991,-3.00793,0,1.72552e-15,0,0,3.0099,0,0,0,0,0,0,0,0,4
1.25126e-19,-0.806452,0,0.806452,0,-1.40813e-20,-0.00418149,0,0.00418149,0,-0.102257,-2.96705,0,7.39877e-15,0,0,2.96881,0,0,0,0,0,0,0,0,5
-0.00564659,-0.80645,0,0.80647,0,-3.07222e-05,-0.00418411,0,0.00418422,0,-0.104039,-2.96301,0,0.0781719,0,0,2.96586,0,0,0,0,0,0,0,0,6
-2.53979e-17,-0.812903,0,0.812903,0,-3.16927e-19,-0.00409273,0,0.00409273,0,-0.116969,-3.05635,0,-4.64559e-15,0,0,3.05859,0,0,0,0,0,0,0,0,7
-4.10088e-19,-0.819355,0,0.819355,0,-4.77257e-19,-0.00400138,0,0.00400138,0,-0.133124,-3.15045,0,2.23677e-14,0,0,3.15327,0,0,0,0,0,0,0,0,8
0,-0.817626,0,0.817626,0,-3.93972e-19,-0.00402586,0,0.00402586,0,-0.128795,-3.12524,0,1.502e-14,0,0,3.12789,0,0,0,0,0,0,0,0,9
-2.53979e-17,-0.812903,0,0.812903,0,-3.16927e-19,-0.00409273,0,0.00409273,0,-0.116969,-3.05635,0,-4.64559e-15,0,0,3.05859,0,0,0,0,0,0,0,0,10
-0.00582865,-0.819351,0,0.819372,0,-3.30766e-05,-0.00400453,0,0.00400467,0,-0.135304,-3.14536,0,0.0896723,0,0,3.14954,0,0,0,0,0,0,0,0,11
-3.85186e-34,-0.825117,0,0.825117,0,-4.18907e-19,-0.00391734,0,0.00391734,0,-0.14906,-3.23911,0,1.79822e-14,0,0,3.24254,0,0,0,0,0,0,0,0,12
2.37022e-19,-0.819355,0,0.819355,0,-4.73585e-19,-0.00400138,0,0.00400138,0,-0.133124,-3.15045,0,2.23577e-14,0,0,3.15327,0,0,0,0,0,0,0,0,13
-0.00582865,-0.819351,0,0.819372,0,-3.30766e-05,-0.00400453,0,0.00400467,0,-0.135304,-3.14536,0,0.0896723,0,0,3.14954,0,0,0,0,0,0,0,0,14
-1.11178e-18,-0.825806,0,0.825806,0,-4.18516e-19,-0.00390729,0,0.00390729,0,-0.150965,-3.24971,0,1.74756e-14,0,0,3.25322,0,0,0,0,0,0,0,0,15
-4.50753e-19,-0.832258,0,0.832258,0,-5.86277e-19,-0.00381032,0,0.00381032,0,-0.17078,-3.3545,0,-7.03872e-13,0,0,3.35884,0,0,0,0,0,0,0,0,16
1.54074e-33,-0.826013,0,0.826013,0,-4.17434e-19,-0.00390418,0,0.00390418,0,-0.1516,-3.25307,0,-5.65868e-15,0,0,3.2566,0,0,0,0,0,0,0,0,17
-1.11178e-18,-0.825806,0,0.825806,0,-4.18516e-19,-0.00390729,0,0.00390729,0,-0.150965,-3.24971,0,1.74756e-14,0,0,3.25322,0,0,0,0,0,0,0,0,18
-0.00601071,-0.832252,0,0.832274,0,-3.55924e-05,-0.00381411,0,0.00381428,0,-0.173446,-3.34805,0,0.10315,0,0,3.35413,0,0,0,0,0,0,0,0,19
